사용월,시간대,지하철역,평균배차간격,호선명,Lati,Long,승차인원수,승차혼잡도,열차운행횟수,지하철역순서,하차인원수,하차혼잡도,혼잡도
2021-01-01 오전 12:00:00,16:00:00~16:59:59,동작(현충원),5분 39초,4호선,37.50289,126.98034,4375,437.5,10,4,3572,357.2,437.5
2021-01-01 오전 12:00:00,17:00:00~17:59:59,동작(현충원),4분 38초,4호선,37.50289,126.98034,5039,359.928571429,14,4,3958,282.714285714,359.928571429
2021-01-01 오전 12:00:00,18:00:00~18:59:59,동작(현충원),3분 37초,4호선,37.50289,126.98034,5047,315.4375,16,4,5235,327.1875,315.4375
2021-01-01 오전 12:00:00,19:00:00~19:59:59,동작(현충원),3분 28초,4호선,37.50289,126.98034,2314,136.117647059,17,4,3699,217.588235294,136.117647059
2021-01-01 오전 12:00:00,20:00:00~20:59:59,동작(현충원),4분 4초,4호선,37.50289,126.98034,1819,121.266666667,15,4,2435,162.333333333,121.266666667
2021-01-01 오전 12:00:00,21:00:00~21:59:59,동작(현충원),5분 10초,4호선,37.50289,126.98034,1738,158,11,4,2946,267.818181818,158
2021-01-01 오전 12:00:00,22:00:00~22:59:59,동작(현충원),9분 8초,4호선,37.50289,126.98034,689,98.428571429,7,4,1110,158.571428571,98.428571429
2021-01-01 오전 12:00:00,23:00:00~23:59:59,동작(현충원),11분 30초,4호선,37.50289,126.98034,188,62.666666667,3,4,750,250,62.666666667
2021-01-01 오전 12:00:00,05:00:00~05:59:59,명동,16분 0초,4호선,37.56099,126.98633,518,259,2,11,783,391.5,259
2021-01-01 오전 12:00:00,06:00:00~06:59:59,명동,7분 41초,4호선,37.56099,126.98633,1532,191.5,8,11,9292,1161.5,191.5
2021-01-01 오전 12:00:00,07:00:00~07:59:59,명동,4분 0초,4호선,37.56099,126.98633,2337,146.0625,16,11,29962,1872.625,146.0625
2021-01-01 오전 12:00:00,08:00:00~08:59:59,명동,2분 54초,4호선,37.56099,126.98633,4039,192.333333333,21,11,80203,3819.190476190,192.333333333
2021-01-01 오전 12:00:00,09:00:00~09:59:59,명동,3분 35초,4호선,37.56099,126.98633,4724,277.882352941,17,11,48556,2856.235294118,277.882352941
2021-01-01 오전 12:00:00,10:00:00~10:59:59,명동,4분 32초,4호선,37.56099,126.98633,5645,434.230769231,13,11,26317,2024.384615385,434.230769231
2021-01-01 오전 12:00:00,11:00:00~11:59:59,명동,5분 32초,4호선,37.56099,126.98633,8539,776.272727273,11,11,22674,2061.272727273,776.272727273
2021-01-01 오전 12:00:00,12:00:00~12:59:59,명동,5분 39초,4호선,37.56099,126.98633,11416,1141.6,10,11,20465,2046.5,1141.6
2021-01-01 오전 12:00:00,13:00:00~13:59:59,명동,5분 38초,4호선,37.56099,126.98633,14930,1357.272727273,11,11,22005,2000.454545455,1357.272727273
2021-01-01 오전 12:00:00,14:00:00~14:59:59,명동,5분 39초,4호선,37.56099,126.98633,18795,1879.5,10,11,20678,2067.8,1879.5
2021-01-01 오전 12:00:00,15:00:00~15:59:59,명동,5분 32초,4호선,37.56099,126.98633,24119,2192.636363636,11,11,18821,1711,2192.636363636
2021-01-01 오전 12:00:00,16:00:00~16:59:59,명동,5분 15초,4호선,37.56099,126.98633,30551,2545.916666667,12,11,16136,1344.666666667,2545.916666667
2021-01-01 오전 12:00:00,17:00:00~17:59:59,명동,5분 5초,4호선,37.56099,126.98633,45391,3782.583333333,12,11,14777,1231.416666667,3782.583333333
2021-01-01 오전 12:00:00,18:00:00~18:59:59,명동,3분 37초,4호선,37.56099,126.98633,80072,5004.5,16,11,12702,793.875,5004.5
2021-01-01 오전 12:00:00,19:00:00~19:59:59,명동,3분 38초,4호선,37.56099,126.98633,35733,2101.941176471,17,11,7350,432.352941176,2101.941176471
2021-01-01 오전 12:00:00,20:00:00~20:59:59,명동,3분 48초,4호선,37.56099,126.98633,31659,2110.6,15,11,3675,245,2110.6
2021-01-01 오전 12:00:00,21:00:00~21:59:59,명동,4분 27초,4호선,37.56099,126.98633,23063,1774.076923077,13,11,3382,260.153846154,1774.076923077
2021-01-01 오전 12:00:00,22:00:00~22:59:59,명동,8분 25초,4호선,37.56099,126.98633,6124,874.857142857,7,11,1426,203.714285714,874.857142857
2021-01-01 오전 12:00:00,23:00:00~23:59:59,명동,10분 54초,4호선,37.56099,126.98633,1234,246.8,5,11,584,116.8,246.8
2021-01-01 오전 12:00:00,05:00:00~05:59:59,미아(서울사이버대학),,4호선,37.62667,127.02598,8330,8330,1,20,1312,1312,8330
2021-01-01 오전 12:00:00,06:00:00~06:59:59,미아(서울사이버대학),9분 45초,4호선,37.62667,127.02598,16488,2748,6,20,4030,671.666666667,2748
2021-01-01 오전 12:00:00,07:00:00~07:59:59,미아(서울사이버대학),5분 2초,4호선,37.62667,127.02598,38820,2986.153846154,13,20,7624,586.461538462,2986.153846154
2021-01-01 오전 12:00:00,08:00:00~08:59:59,미아(서울사이버대학),2분 51초,4호선,37.62667,127.02598,45097,2147.476190476,21,20,23586,1123.142857143,2147.476190476
2021-01-01 오전 12:00:00,09:00:00~09:59:59,미아(서울사이버대학),3분 15초,4호선,37.62667,127.02598,26738,1572.823529412,17,20,14895,876.176470588,1572.823529412
2021-01-01 오전 12:00:00,10:00:00~10:59:59,미아(서울사이버대학),4분 12초,4호선,37.62667,127.02598,18837,1255.8,15,20,11854,790.266666667,1255.8
2021-01-01 오전 12:00:00,11:00:00~11:59:59,미아(서울사이버대학),5분 24초,4호선,37.62667,127.02598,17272,1570.181818182,11,20,11883,1080.272727273,1570.181818182
2021-01-01 오전 12:00:00,12:00:00~12:59:59,미아(서울사이버대학),5분 38초,4호선,37.62667,127.02598,18075,1643.181818182,11,20,12943,1176.636363636,1643.181818182
